"REF_DATE","GEO","DGUID","Age group","Sex","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107660854","1.1.1.1.1","23892","A","","","0"
"2001","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107660854","1.1.1.1.1","24207","A","","","0"
"2002","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107660854","1.1.1.1.1","24517","A","","","0"
"2003","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107660854","1.1.1.1.1","24848","A","","","0"
"2004","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107660854","1.1.1.1.1","25179","A","","","0"
"2005","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107660854","1.1.1.1.1","25583","A","","","0"
"2006","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107660854","1.1.1.1.1","25822","A","","","0"
"2007","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107660854","1.1.1.1.1","26195","A","","","0"
"2008","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107660854","1.1.1.1.1","26590","A","","","0"
"2009","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107660854","1.1.1.1.1","26941","A","","","0"
"2010","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107660854","1.1.1.1.1","27371","A","","","0"
"2011","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107660854","1.1.1.1.1","27708","A","","","0"
"2012","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107660854","1.1.1.1.1","27982","A","","","0"
"2013","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107660854","1.1.1.1.1","28377","A","","","0"
"2014","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107660854","1.1.1.1.1","28524","C","","","0"
"2015","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107660854","1.1.1.1.1","28829","A","","","0"
"2016","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107660854","1.1.1.1.1","29166","A","","","0"
"2017","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107660854","1.1.1.1.1","29601","A","","","0"
"2018","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107660854","1.1.1.1.1","30022","A","","","0"
"2019","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107660854","1.1.1.1.1","30517","A","","","0"
"2020","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107660854","1.1.1.1.1","30730","A","","","0"
"2021","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107660854","1.1.1.1.1","31145","A","","","0"
"2022","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107660854","1.1.1.1.1","32070","A","","","0"
"2023","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107660854","1.1.1.1.1","33078","A","","","0"
"2000","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107660855","1.1.1.1.2","23006","A","","","0"
"2001","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107660855","1.1.1.1.2","23323","A","","","0"
"2002","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107660855","1.1.1.1.2","23765","A","","","0"
"2003","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107660855","1.1.1.1.2","24044","A","","","0"
"2004","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107660855","1.1.1.1.2","24400","A","","","0"
"2005","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107660855","1.1.1.1.2","24872","A","","","0"
"2006","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107660855","1.1.1.1.2","25151","A","","","0"
"2007","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107660855","1.1.1.1.2","25562","A","","","0"
"2008","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107660855","1.1.1.1.2","26038","A","","","0"
"2009","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107660855","1.1.1.1.2","26227","A","","","0"
"2010","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107660855","1.1.1.1.2","26589","A","","","0"
"2011","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107660855","1.1.1.1.2","26905","A","","","0"
"2012","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107660855","1.1.1.1.2","27257","A","","","0"
"2013","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107660855","1.1.1.1.2","27568","A","","","0"
"2014","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107660855","1.1.1.1.2","27902","C","","","0"
"2015","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107660855","1.1.1.1.2","28148","A","","","0"
"2016","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107660855","1.1.1.1.2","28437","A","","","0"
"2017","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107660855","1.1.1.1.2","28935","A","","","0"
"2018","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107660855","1.1.1.1.2","29475","A","","","0"
"2019","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107660855","1.1.1.1.2","29867","A","","","0"
"2020","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107660855","1.1.1.1.2","30322","A","","","0"
"2021","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107660855","1.1.1.1.2","30635","A","","","0"
"2022","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107660855","1.1.1.1.2","31211","A","","","0"
"2023","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107660855","1.1.1.1.2","32099","A","","","0"
"2000","Canada","2021A000011124","15 years and over","Both sexes","Total income","Aggregate income","2023 constant dollars","449","millions","6","v107660856","1.1.1.1.3","1107534","A","","","0"
"2001","Canada","2021A000011124","15 years and over","Both sexes","Total income","Aggregate income","2023 constant dollars","449","millions","6","v107660856","1.1.1.1.3","1141688","A","","","0"
"2002","Canada","2021A000011124","15 years and over","Both sexes","Total income","Aggregate income","2023 constant dollars","449","millions","6","v107660856","1.1.1.1.3","1160333","A","","","0"
"2003","Canada","2021A000011124","15 years and over","Both sexes","Total income","Aggregate income","2023 constant dollars","449","millions","6","v107660856","1.1.1.1.3","1170211","A","","","0"
"2004","Canada","2021A000011124","15 years and over","Both sexes","Total income","Aggregate income","2023 constant dollars","449","millions","6","v107660856","1.1.1.1.3","1208335","A","","","0"
"2005","Canada","2021A000011124","15 years and over","Both sexes","Total income","Aggregate income","2023 constant dollars","449","millions","6","v107660856","1.1.1.1.3","1239778","A","","","0"
"2006","Canada","2021A000011124","15 years and over","Both sexes","Total income","Aggregate income","2023 constant dollars","449","millions","6","v107660856","1.1.1.1.3","1262829","A","","","0"
"2007","Canada","2021A000011124","15 years and over","Both sexes","Total income","Aggregate income","2023 constant dollars","449","millions","6","v107660856","1.1.1.1.3","1318783","A","","","0"
"2008","Canada","2021A000011124","15 years and over","Both sexes","Total income","Aggregate income","2023 constant dollars","449","millions","6","v107660856","1.1.1.1.3","1357550","A","","","0"
"2009","Canada","2021A000011124","15 years and over","Both sexes","Total income","Aggregate income","2023 constant dollars","449","millions","6","v107660856","1.1.1.1.3","1363230","A","","","0"
"2010","Canada","2021A000011124","15 years and over","Both sexes","Total income","Aggregate income","2023 constant dollars","449","millions","6","v107660856","1.1.1.1.3","1385452","A","","","0"
"2011","Canada","2021A000011124","15 years and over","Both sexes","Total income","Aggregate income","2023 constant dollars","449","millions","6","v107660856","1.1.1.1.3","1409365","A","","","0"
"2012","Canada","2021A000011124","15 years and over","Both sexes","Total income","Aggregate income","2023 constant dollars","449","millions","6","v107660856","1.1.1.1.3","1456153","A","","","0"
"2013","Canada","2021A000011124","15 years and over","Both sexes","Total income","Aggregate income","2023 constant dollars","449","millions","6","v107660856","1.1.1.1.3","1497276","A","","","0"
"2014","Canada","2021A000011124","15 years and over","Both sexes","Total income","Aggregate income","2023 constant dollars","449","millions","6","v107660856","1.1.1.1.3","1530624","C","","","0"
"2015","Canada","2021A000011124","15 years and over","Both sexes","Total income","Aggregate income","2023 constant dollars","449","millions","6","v107660856","1.1.1.1.3","1552949","A","","","0"
"2016","Canada","2021A000011124","15 years and over","Both sexes","Total income","Aggregate income","2023 constant dollars","449","millions","6","v107660856","1.1.1.1.3","1557971","A","","","0"
"2017","Canada","2021A000011124","15 years and over","Both sexes","Total income","Aggregate income","2023 constant dollars","449","millions","6","v107660856","1.1.1.1.3","1629209","A","","","0"
"2018","Canada","2021A000011124","15 years and over","Both sexes","Total income","Aggregate income","2023 constant dollars","449","millions","6","v107660856","1.1.1.1.3","1661059","A","","","0"
"2019","Canada","2021A000011124","15 years and over","Both sexes","Total income","Aggregate income","2023 constant dollars","449","millions","6","v107660856","1.1.1.1.3","1683514","A","","","0"
"2020","Canada","2021A000011124","15 years and over","Both sexes","Total income","Aggregate income","2023 constant dollars","449","millions","6","v107660856","1.1.1.1.3","1785232","A","","","0"
"2021","Canada","2021A000011124","15 years and over","Both sexes","Total income","Aggregate income","2023 constant dollars","449","millions","6","v107660856","1.1.1.1.3","1835023","A","","","0"
"2022","Canada","2021A000011124","15 years and over","Both sexes","Total income","Aggregate income","2023 constant dollars","449","millions","6","v107660856","1.1.1.1.3","1851051","A","","","0"
"2023","Canada","2021A000011124","15 years and over","Both sexes","Total income","Aggregate income","2023 constant dollars","449","millions","6","v107660856","1.1.1.1.3","1905953","A","","","0"
"2000","Canada","2021A000011124","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v107660857","1.1.1.1.4","48100","A","","","0"
"2001","Canada","2021A000011124","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v107660857","1.1.1.1.4","49000","A","","","0"
"2002","Canada","2021A000011124","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v107660857","1.1.1.1.4","48800","A","","","0"
"2003","Canada","2021A000011124","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v107660857","1.1.1.1.4","48700","A","","","0"
"2004","Canada","2021A000011124","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v107660857","1.1.1.1.4","49500","A","","","0"
"2005","Canada","2021A000011124","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v107660857","1.1.1.1.4","49800","A","","","0"
"2006","Canada","2021A000011124","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v107660857","1.1.1.1.4","50200","A","","","0"
"2007","Canada","2021A000011124","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v107660857","1.1.1.1.4","51600","A","","","0"
"2008","Canada","2021A000011124","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v107660857","1.1.1.1.4","52100","A","","","0"
"2009","Canada","2021A000011124","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v107660857","1.1.1.1.4","52000","A","","","0"
"2010","Canada","2021A000011124","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v107660857","1.1.1.1.4","52100","A","","","0"
"2011","Canada","2021A000011124","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v107660857","1.1.1.1.4","52400","A","","","0"
"2012","Canada","2021A000011124","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v107660857","1.1.1.1.4","53400","A","","","0"
"2013","Canada","2021A000011124","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v107660857","1.1.1.1.4","54300","A","","","0"
"2014","Canada","2021A000011124","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v107660857","1.1.1.1.4","54900","A","","","0"
"2015","Canada","2021A000011124","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v107660857","1.1.1.1.4","55200","A","","","0"
"2016","Canada","2021A000011124","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v107660857","1.1.1.1.4","54800","A","","","0"
"2017","Canada","2021A000011124","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v107660857","1.1.1.1.4","56300","A","","","0"
"2018","Canada","2021A000011124","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v107660857","1.1.1.1.4","56400","A","","","0"
"2019","Canada","2021A000011124","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v107660857","1.1.1.1.4","56400","A","","","0"
"2020","Canada","2021A000011124","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v107660857","1.1.1.1.4","58900","A","","","0"
"2021","Canada","2021A000011124","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v107660857","1.1.1.1.4","59900","A","","","0"
"2022","Canada","2021A000011124","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v107660857","1.1.1.1.4","59300","A","","","0"
"2023","Canada","2021A000011124","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2023 constant dollars","449","units","0","v107660857","1.1.1.1.4","59400","A","","","0"
"2000","Canada","2021A000011124","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v107660858","1.1.1.1.5","35200","A","","","0"
"2001","Canada","2021A000011124","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v107660858","1.1.1.1.5","36300","A","","","0"
"2002","Canada","2021A000011124","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v107660858","1.1.1.1.5","36200","A","","","0"
"2003","Canada","2021A000011124","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v107660858","1.1.1.1.5","36000","A","","","0"
"2004","Canada","2021A000011124","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v107660858","1.1.1.1.5","36400","A","","","0"
"2005","Canada","2021A000011124","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v107660858","1.1.1.1.5","36800","A","","","0"
"2006","Canada","2021A000011124","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v107660858","1.1.1.1.5","37300","A","","","0"
"2007","Canada","2021A000011124","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v107660858","1.1.1.1.5","38500","A","","","0"
"2008","Canada","2021A000011124","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v107660858","1.1.1.1.5","38500","A","","","0"
"2009","Canada","2021A000011124","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v107660858","1.1.1.1.5","38600","A","","","0"
"2010","Canada","2021A000011124","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v107660858","1.1.1.1.5","38500","A","","","0"
"2011","Canada","2021A000011124","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v107660858","1.1.1.1.5","39000","A","","","0"
"2012","Canada","2021A000011124","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v107660858","1.1.1.1.5","39800","A","","","0"
"2013","Canada","2021A000011124","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v107660858","1.1.1.1.5","40700","A","","","0"
"2014","Canada","2021A000011124","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v107660858","1.1.1.1.5","41300","A","","","0"
"2015","Canada","2021A000011124","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v107660858","1.1.1.1.5","41000","A","","","0"
"2016","Canada","2021A000011124","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v107660858","1.1.1.1.5","41200","A","","","0"
"2017","Canada","2021A000011124","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v107660858","1.1.1.1.5","42200","A","","","0"
"2018","Canada","2021A000011124","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v107660858","1.1.1.1.5","42600","A","","","0"
"2019","Canada","2021A000011124","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v107660858","1.1.1.1.5","43400","A","","","0"
"2020","Canada","2021A000011124","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v107660858","1.1.1.1.5","45300","A","","","0"
"2021","Canada","2021A000011124","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v107660858","1.1.1.1.5","45700","A","","","0"
"2022","Canada","2021A000011124","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v107660858","1.1.1.1.5","44800","A","","","0"
"2023","Canada","2021A000011124","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2023 constant dollars","449","units","0","v107660858","1.1.1.1.5","45400","A","","","0"


